params_x,params_y,params_z,user_attrs_top-1
121.4,150.2,0.06,0.7578125
121.4,150.2,0.06,0.7578125
124.8,158.6,0.48,0.7578125
124.8,158.6,0.48,0.7578125
116.2,156.7,0.12,0.7578125
116.2,156.7,0.12,0.7578125
117.7,160.0,0.37,0.7578125
117.7,160.0,0.37,0.7578125
113.7,157.1,0.42,0.7578125
113.7,157.1,0.42,0.7578125
122.6,157.9,0.13,0.7578125
122.6,157.9,0.13,0.7578125
126.6,152.3,0.1,0.7578125
126.6,152.3,0.1,0.7578125
119.4,148.7,0.11,0.7578125
119.4,148.7,0.11,0.7578125
124.9,149.6,0.18,0.7578125
124.9,149.6,0.18,0.7578125
120.6,154.8,0.33,0.7578125
120.6,154.8,0.33,0.7578125
113.5,159.7,0.28,0.7578125
113.5,159.7,0.28,0.7578125
120.9,159.7,0.49,0.7578125
120.9,159.7,0.49,0.7578125
118.6,150.2,0.39,0.7578125
118.6,150.2,0.39,0.7578125
122.0,153.3,0.37,0.7578125
122.0,153.3,0.37,0.7578125
116.6,158.3,0.27,0.7578125
116.6,158.3,0.27,0.7578125
124.4,149.2,0.15,0.7578125
124.4,149.2,0.15,0.7578125
113.2,155.1,0.41000000000000003,0.7578125
113.2,155.1,0.41000000000000003,0.7578125
115.2,159.7,0.21,0.7578125
115.2,159.7,0.21,0.7578125
122.7,150.7,0.27,0.7578125
122.7,150.7,0.27,0.7578125
116.8,155.3,0.21,0.7578125
116.8,155.3,0.21,0.7578125
120.5,151.7,0.49,0.7578125
120.5,151.7,0.49,0.7578125
125.6,148.0,0.21,0.7578125
125.6,148.0,0.21,0.7578125
123.8,148.2,0.12,0.7578125
123.8,148.2,0.12,0.7578125
119.5,159.5,0.18,0.7578125
119.5,159.5,0.18,0.7578125
125.4,159.2,0.0,0.7578125
125.4,159.2,0.0,0.7578125
127.0,155.5,0.48,0.7578125
127.0,155.5,0.48,0.7578125
124.1,149.5,0.0,0.7578125
124.1,149.5,0.0,0.7578125
120.2,151.6,0.23,0.7578125
120.2,151.6,0.23,0.7578125
124.6,151.1,0.5,0.7578125
124.6,151.1,0.5,0.7578125
117.1,148.4,0.11,0.7578125
117.1,148.4,0.11,0.7578125
115.9,153.5,0.25,0.7578125
115.9,153.5,0.25,0.7578125
117.0,157.5,0.0,0.7578125
117.0,157.5,0.0,0.7578125
126.7,156.7,0.05,0.7578125
126.7,156.7,0.05,0.7578125
122.6,159.5,0.29,0.7578125
122.6,159.5,0.29,0.7578125
124.9,149.7,0.31,0.7578125
124.9,149.7,0.31,0.7578125
119.0,159.6,0.43,0.7578125
119.0,159.6,0.43,0.7578125
120.9,157.2,0.42,0.7578125
120.9,157.2,0.42,0.7578125
115.7,154.2,0.07,0.7578125
115.7,154.2,0.07,0.7578125
120.8,156.6,0.29,-1.0
120.8,156.6,0.29,-1.0
123.9,151.4,0.12,0.7578125
123.9,151.4,0.12,0.7578125
127.0,152.5,0.45,0.7578125
127.0,152.5,0.45,0.7578125
113.6,149.7,0.39,0.7578125
113.6,149.7,0.39,0.7578125
117.4,150.0,0.5,0.7578125
117.4,150.0,0.5,0.7578125
120.6,151.9,0.08,0.7578125
120.6,151.9,0.08,0.7578125
113.3,159.3,0.16,0.7578125
113.3,159.3,0.16,0.7578125
115.9,160.0,0.11,0.7578125
115.9,160.0,0.11,0.7578125
121.1,149.5,0.19,0.7578125
121.1,149.5,0.19,0.7578125
124.5,155.9,0.29,0.7578125
124.5,155.9,0.29,0.7578125
119.9,148.1,0.06,0.7578125
119.9,148.1,0.06,0.7578125
117.0,158.2,0.12,0.7578125
117.0,158.2,0.12,0.7578125
119.5,148.3,0.35000000000000003,0.7578125
119.5,148.3,0.35000000000000003,0.7578125
121.2,159.5,0.12,0.7578125
121.2,159.5,0.12,0.7578125
116.5,160.0,0.27,0.7578125
116.5,160.0,0.27,0.7578125
126.9,149.9,0.22,0.7578125
126.9,149.9,0.22,0.7578125
122.3,148.8,0.31,0.7578125
122.3,148.8,0.31,0.7578125
121.5,153.2,0.24,-1.0
121.5,153.2,0.24,-1.0
114.8,157.9,0.34,0.7578125
114.8,157.9,0.34,0.7578125
120.5,150.2,0.5,0.7578125
120.5,150.2,0.5,0.7578125
119.8,148.0,0.2,0.7578125
119.8,148.0,0.2,0.7578125
121.8,154.7,0.1,0.7578125
121.8,154.7,0.1,0.7578125
113.1,156.3,0.36,0.7578125
113.1,156.3,0.36,0.7578125
121.6,150.4,0.41000000000000003,0.7578125
121.6,150.4,0.41000000000000003,0.7578125
123.3,157.1,0.42,-1.0
123.3,157.1,0.42,-1.0
122.7,150.2,0.08,0.7578125
122.7,150.2,0.08,0.7578125
125.0,154.7,0.2,-1.0
