params_x,params_y,params_z,params_voltage,user_attrs_top-1
119.5,153.0,0.2,300,0.7578125
119.5,153.0,0.2,300,0.7578125
119.0,153.5,0.0,300,-1.0
119.0,153.5,0.0,300,-1.0
124.0,154.5,0.15000000000000002,300,0.7578125
124.0,154.5,0.15000000000000002,300,0.75
124.0,154.5,0.15000000000000002,300,0.75
124.0,154.5,0.15000000000000002,300,0.7578125
118.0,155.5,0.15000000000000002,300,-1.0
118.0,155.5,0.15000000000000002,300,-1.0
126.5,156.0,0.0,300,0.7578125
126.5,156.0,0.0,300,0.7578125
123.5,156.5,0.55,300,0.7578125
123.5,156.5,0.55,300,0.7578125
123.5,154.0,0.05,300,0.7578125
123.5,154.0,0.05,300,-1.0
124.0,154.0,0.30000000000000004,300,0.7578125
124.0,154.0,0.30000000000000004,300,0.7578125
124.5,155.5,0.2,350,0.7578125
124.5,155.5,0.2,350,0.75
124.5,155.5,0.2,350,0.7578125
124.0,158.5,0.2,350,0.7578125
124.0,158.5,0.2,350,0.7578125
124.0,155.0,0.2,350,-1.0
124.0,155.0,0.2,350,-1.0
120.0,155.5,0.05,300,0.7578125
120.0,155.5,0.05,300,-1.0
124.0,156.0,0.2,350,0.7578125
124.0,156.0,0.2,350,-1.0
124.5,156.0,0.25,300,-1.0
124.5,156.0,0.25,300,0.7578125
126.0,155.0,0.1,300,0.7578125
126.0,155.0,0.1,300,0.7578125
121.5,155.5,0.0,300,0.7578125
121.5,155.5,0.0,300,0.7578125
126.0,153.5,0.25,300,0.7578125
126.0,153.5,0.25,300,0.7578125
124.5,156.5,0.2,250,0.75
124.5,156.5,0.2,250,0.7578125
124.5,156.5,0.2,250,0.7578125
126.5,151.5,0.0,250,0.7578125
126.5,151.5,0.0,250,0.7578125
123.0,156.5,0.15000000000000002,250,0.7578125
123.0,156.5,0.15000000000000002,250,0.7578125
124.5,156.0,0.25,200,0.7578125
124.5,156.0,0.25,200,0.7578125
125.5,157.0,0.15000000000000002,250,0.7578125
125.5,157.0,0.15000000000000002,250,0.7578125
124.0,155.5,0.0,250,-1.0
124.0,155.5,0.0,250,0.7578125
122.5,158.5,0.45,250,0.7578125
122.5,158.5,0.45,250,0.7578125
126.0,156.0,0.05,350,0.7578125
126.0,156.0,0.05,350,0.7421875
126.0,156.0,0.05,350,0.1171875
126.0,156.0,0.05,350,0.7578125
126.0,156.0,0.05,350,0.7578125
126.0,156.0,0.05,350,-1.0
125.5,154.5,0.15000000000000002,350,0.7578125
125.5,154.5,0.15000000000000002,350,0.7578125
124.0,154.5,0.2,300,0.7578125
124.0,154.5,0.2,300,0.7578125
126.5,158.0,0.0,350,0.7578125
126.5,158.0,0.0,350,0.7578125
126.5,155.5,0.05,350,0.7578125
126.5,155.5,0.05,350,-1.0
121.0,157.5,0.0,300,0.7578125
121.0,157.5,0.0,300,0.7578125
122.5,153.0,0.0,350,-1.0
122.5,153.0,0.0,350,0.7578125
125.5,157.0,0.25,300,0.7578125
125.5,157.0,0.25,300,0.7578125
123.5,154.5,0.1,300,-1.0
123.5,154.5,0.1,300,0.7578125
121.0,155.5,0.2,350,-1.0
121.0,155.5,0.2,350,-1.0
123.0,155.0,0.75,350,0.75
