params_x,params_y,params_z,params_voltage,user_attrs_top-1
123.0,155.5,0.01,200,0.7578125
123.0,155.5,0.01,200,0.7578125
123.5,154.2,0.01,150,0.7578125
123.5,154.2,0.01,150,0.7578125
123.7,155.2,0.13,150,0.7578125
123.7,155.2,0.13,150,0.7578125
124.10000000000001,154.5,0.34,200,0.7578125
124.10000000000001,154.5,0.34,200,0.7578125
123.60000000000001,155.4,0.68,350,0.7578125
123.60000000000001,155.4,0.68,350,0.7578125
124.10000000000001,155.1,0.09,150,0.7578125
124.10000000000001,155.1,0.09,150,0.7578125
123.4,154.79999999999998,0.07,300,0.7578125
123.4,154.79999999999998,0.07,300,0.7578125
124.5,154.29999999999998,0.06,150,0.7578125
124.5,154.29999999999998,0.06,150,0.7578125
123.80000000000001,154.1,0.0,250,0.7578125
123.80000000000001,154.1,0.0,250,0.7578125
123.30000000000001,155.0,0.15,250,0.7578125
123.30000000000001,155.0,0.15,250,0.1328125
123.30000000000001,155.0,0.15,250,0.7578125
123.30000000000001,155.0,0.15,250,0.1328125
123.30000000000001,155.0,0.15,250,0.7578125
123.30000000000001,155.0,0.15,250,-1.0
123.30000000000001,155.0,0.15,250,0.7578125
123.30000000000001,155.0,0.15,250,0.140625
123.30000000000001,155.0,0.15,250,-1.0
123.30000000000001,155.0,0.15,250,0.7578125
123.30000000000001,155.0,0.15,250,0.140625
123.30000000000001,155.0,0.15,250,0.7578125
123.30000000000001,155.0,0.15,250,-1.0
123.30000000000001,155.0,0.15,250,0.7578125
125.30000000000001,155.4,0.76,250,0.7578125
125.30000000000001,155.4,0.76,250,0.7578125
122.80000000000001,154.9,0.15,250,0.7578125
122.80000000000001,154.9,0.15,250,-1.0
121.4,156.79999999999998,0.06,250,0.7578125
121.4,156.79999999999998,0.06,250,0.7578125
124.30000000000001,154.29999999999998,0.22,150,0.7578125
124.30000000000001,154.29999999999998,0.22,150,0.75
124.30000000000001,154.29999999999998,0.22,150,0.7578125
124.5,153.4,0.32,150,0.7578125
124.5,153.4,0.32,150,0.7578125
121.60000000000001,155.2,0.27,250,0.7578125
121.60000000000001,155.2,0.27,250,0.7578125
123.5,154.79999999999998,0.21,200,0.7578125
123.5,154.79999999999998,0.21,200,0.7578125
123.10000000000001,154.6,0.0,250,-1.0
123.10000000000001,154.6,0.0,250,0.75
123.10000000000001,154.6,0.0,250,0.7578125
124.30000000000001,153.9,0.28,200,0.7578125
124.30000000000001,153.9,0.28,200,0.7578125
123.60000000000001,154.7,0.03,200,0.75
123.60000000000001,154.7,0.03,200,0.7578125
123.60000000000001,154.7,0.03,200,0.7578125
124.30000000000001,153.79999999999998,0.77,250,0.7578125
124.30000000000001,153.79999999999998,0.77,250,0.7578125
123.5,154.7,0.29,250,0.7578125
123.5,154.7,0.29,250,0.7578125
123.9,155.9,0.18,250,-1.0
123.9,155.9,0.18,250,0.7578125
123.0,155.29999999999998,0.28,300,0.1171875
123.0,155.29999999999998,0.28,300,-1.0
123.0,155.29999999999998,0.28,300,0.7578125
123.0,155.29999999999998,0.28,300,0.7578125
123.0,155.29999999999998,0.28,300,0.7578125
123.0,155.6,0.12,300,0.7578125
123.0,155.6,0.12,300,0.7578125
123.7,155.79999999999998,0.25,300,0.75
123.7,155.79999999999998,0.25,300,0.7578125
123.7,155.79999999999998,0.25,300,-1.0
122.5,155.2,0.32,300,0.7578125
122.5,155.2,0.32,300,0.7578125
123.9,154.2,0.2,150,0.7578125
123.9,154.2,0.2,150,0.7578125
